"bay_id	st_marker_id	location	lat	lon",
"6349	13516E	""(-37.821084107748668"," 144.95169231630354)""	-37.82108411	144.9516923"
"6346	13510E	""(-37.820922780844853"," 144.95156634519913)""	-37.82092278	144.9515663"
"4927	9349S	""(-37.829625511028986"," 144.96811056516043)""	-37.82962551	144.9681106"
"5245	11515S	""(-37.811769741315644"," 144.95233842620712)""	-37.81176974	144.9523384"
"4286	C6908	""(-37.809204864084677"," 144.95581991090108)""	-37.80920486	144.9558199"
"1201	1416E	""(-37.818772827200377"," 144.95694617554813)""	-37.81877283	144.9569462"
"6230	13338E	""(-37.816569958492209"," 144.94574435862592)""	-37.81656996	144.9457444"
"7055	4684Ea	""(-37.805047127788988"," 144.95920529019514)""	-37.80504713	144.9592053"
"5241	11507S	""(-37.811645278347228"," 144.95277283819669)""	-37.81164528	144.9527728"
"6421	13668E	""(-37.821039017393552"," 144.94543085388358)""	-37.82103902	144.9454309"
"3192	5417W	""(-37.808285049204585"," 144.95470054054852)""	-37.80828505	144.9547005"
"6023	13045S	""(-37.821284094130959"," 144.94680333651272)""	-37.82128409	144.9468033"
"3536	7035S	""(-37.807586358458309"," 144.95846472202294)""	-37.80758636	144.9584647"
"3859	C5614	""(-37.807240493037426"," 144.95490856419104)""	-37.80724049	144.9549086"
"2625	3691S	""(-37.809017915509692"," 144.96603614140366)""	-37.80901792	144.9660361"
"4575	8016E	""(-37.829580886974"," 144.96907636943524)""	-37.82958089	144.9690764"
"4849	9249S	""(-37.82890374259275"," 144.97057911725301)""	-37.82890374	144.9705791"
"2315	2856N	""(-37.810552859626227"," 144.96782240031735)""	-37.81055286	144.9678224"
"1747	2363S	""(-37.81231784718932"," 144.97002365527845)""	-37.81231785	144.9700237"
"4960	9389S	""(-37.829823927145739"," 144.96742114278902)""	-37.82982393	144.9674211"
"4333	C7004	""(-37.809288461139431"," 144.95640630553191)""	-37.80928846	144.9564063"
"1306	1299W	""(-37.818342317700157"," 144.95930856517055)""	-37.81834232	144.9593086"
"1288	4480E	""(-37.812829336333905"," 144.95421226198357)""	-37.81282934	144.9542123"
"1755	2376N	""(-37.812213282950118"," 144.96983550297961)""	-37.81221328	144.9698355"
"1723	2319S	""(-37.817944028273317"," 144.95432660642433)""	-37.81794403	144.9543266"
"6208	13278N	""(-37.814823587375116"," 144.9453313754436)""	-37.81482359	144.9453314"
"5547	12027W	""(-37.812981698443679"," 144.98299801712943)""	-37.8129817	144.982998"
"6633	13917W	""(-37.813967414908575"," 144.94241431081554)""	-37.81396741	144.9424143"
"4112	C6376	""(-37.804055471671106"," 144.95095268645201)""	-37.80405547	144.9509527"
"6472	13804N	""(-37.81384002710719"," 144.94000741450361)""	-37.81384003	144.9400074"
"1006	951W	""(-37.813018275426899"," 144.96249192216197)""	-37.81301828	144.9624919"
"2706	10338E	""(-37.803428592843034"," 144.94395710597473)""	-37.80342859	144.9439571"
"1794	2450N	""(-37.815954083378557"," 144.95697164506373)""	-37.81595408	144.9569716"
"1852	2571S	""(-37.814293772083857"," 144.95926715880069)""	-37.81429377	144.9592672"
"3225	5574E	""(-37.806296624395195"," 144.95403901554505)""	-37.80629662	144.954039"
"2696	10326E	""(-37.803046931285422"," 144.94402475908936)""	-37.80304693	144.9440248"
"3022	5106E	""(-37.804313878419968"," 144.95768253401354)""	-37.80431388	144.9576825"
"1763	2390N	""(-37.814667165965325"," 144.96145458670981)""	-37.81466717	144.9614546"
"3223	5560E	""(-37.806421764440316"," 144.95409719181603)""	-37.80642176	144.9540972"
"5471	11896E	""(-37.810178585164884"," 144.97838466910338)""	-37.81017859	144.9783847"
"3108	5265W	""(-37.804668732443048"," 144.95727562995279)""	-37.80466873	144.9572756"
"5527	11987W	""(-37.814117086506307"," 144.98280290190883)""	-37.81411709	144.9828029"
"6898	14243W	""(-37.795136993775444"," 144.96480847202622)""	-37.79513699	144.9648085"
"3894	C5700	""(-37.806139208103843"," 144.95510263074129)""	-37.80613921	144.9551026"
"4313	C6962	""(-37.809207691209849"," 144.95602255531281)""	-37.80920769	144.9560226"
"5782	12481S	""(-37.812130202521118"," 144.97742407352905)""	-37.8121302	144.9774241"
"6165	13220N	""(-37.8187469475412"," 144.9472254682488)""	-37.81874695	144.9472255"
"3210	5480E	""(-37.807199355790942"," 144.95445067652309)""	-37.80719936	144.9544507"
"5431	11814E	""(-37.813808549877137"," 144.97777302913556)""	-37.81380855	144.977773"
"3269	5828E	""(-37.806736415449592"," 144.95352445527723)""	-37.80673642	144.9535245"
"2751	4588E	""(-37.807509192830395"," 144.9659024933801)""	-37.80750919	144.9659025"
"2145	3759S	""(-37.810039754541279"," 144.96254418906088)""	-37.81003975	144.9625442"
"3727	7762N	""(-37.802540765033442"," 144.94582181221179)""	-37.80254077	144.9458218"
"5443	11838E	""(-37.813064816153343"," 144.97789647113967)""	-37.81306482	144.9778965"
"5812	12552N	""(-37.815805863923501"," 144.98088235524366)""	-37.81580586	144.9808824"
"2671	10180E	""(-37.804057119319594"," 144.94954252316751)""	-37.80405712	144.9495425"
"4966	9395S	""(-37.82985245067254"," 144.96732332618666)""	-37.82985245	144.9673233"
"3268	5826E	""(-37.806761425879529"," 144.95352002790656)""	-37.80676143	144.95352"
"4391	C7216	""(-37.807715327604946"," 144.95259496874846)""	-37.80771533	144.952595"
"5430	11812E	""(-37.813856988438189"," 144.9777649626979)""	-37.81385699	144.977765"
"5433	11818E	""(-37.81371167275136"," 144.97778916197507)""	-37.81371167	144.9777892"
"2668	10177W	""(-37.804149417765473"," 144.94933269481703)""	-37.80414942	144.9493327"
"5437	11826E	""(-37.813517919376068"," 144.97782142693046)""	-37.81351792	144.9778214"
"3256	5809W	""(-37.806981988700045"," 144.95334636055071)""	-37.80698199	144.9533464"
"1883	2625S	""(-37.815587611664526"," 144.95473320801864)""	-37.81558761	144.9547332"
"3349	6033S	""(-37.810510036597833"," 144.95671667641926)""	-37.81051004	144.9567167"
"5894	C9016	""(-37.80286780038707"," 144.9669989421372)""	-37.8028678	144.9669989"
"6555	13771W	""(-37.812165668635849"," 144.93846919196068)""	-37.81216567	144.9384692"
"6482	13709W	""(-37.815640171945759"," 144.93691008096914)""	-37.81564017	144.9369101"
"5453	11858E	""(-37.812556589932839"," 144.97798098223615)""	-37.81255659	144.977981"
"4561	8002E	""(-37.830165516189453"," 144.96934595479848)""	-37.83016552	144.969346"
"5394	11754E	""(-37.810105671371289"," 144.97569092017085)""	-37.81010567	144.9756909"
"5551	12035W	""(-37.812773892229671"," 144.98303275474183)""	-37.81277389	144.9830328"
"844	C632	""(-37.808552030356694"," 144.96895378187554)""	-37.80855203	144.9689538"
"5829	12545S	""(-37.81596215083124"," 144.98060652795351)""	-37.81596215	144.9806065"
"2443	C2756	""(-37.809983999169432"," 144.97010747368216)""	-37.809984	144.9701075"
"5908	C9072	""(-37.802933972594673"," 144.96760513241395)""	-37.80293397	144.9676051"
"3285	5852E	""(-37.806448114697517"," 144.9535755159597)""	-37.80644811	144.9535755"
"5827	12541S	""(-37.815947159596149"," 144.9804706937299)""	-37.81594716	144.9804707"
"5352	8885W	""(-37.824949804603705"," 144.96111403077884)""	-37.8249498	144.961114"
"5153	9976N	""(-37.826039329256673"," 144.96697516104911)""	-37.82603933	144.9669752"
"4380	C7194	""(-37.807552882822975"," 144.95292714762365)""	-37.80755288	144.9529271"
"5436	11824E	""(-37.813566357043726"," 144.97781336056457)""	-37.81356636	144.9778134"
"4303	C6942	""(-37.80931001435453"," 144.95600378459955)""	-37.80931001	144.9560038"
"5552	12037W	""(-37.812723580902663"," 144.98304109521604)""	-37.81272358	144.9830411"
"5487	11897W	""(-37.810264131645354"," 144.97812947212751)""	-37.81026413	144.9781295"
"6114	C13552	""(-37.819351380301164"," 144.94547539501508)""	-37.81935138	144.9454754"
"6348	13514E	""(-37.821034479135733"," 144.95165438393957)""	-37.82103448	144.9516544"
"5643	12281S	""(-37.809747476347852"," 144.97680683347869)""	-37.80974748	144.9768068"
"6310	13377W	""(-37.819879805011858"," 144.94993928519551)""	-37.81987981	144.9499393"
"5035	9511S	""(-37.828454148883971"," 144.96637902421656)""	-37.82845415	144.966379"
"5306	9529S	""(-37.828262060564867"," 144.96538434895513)""	-37.82826206	144.9653843"
"4394	C7222	""(-37.807790026956077"," 144.95244247314639)""	-37.80779003	144.9524425"
"4600	8329W	""(-37.82480832311029"," 144.96824551375255)""	-37.82480832	144.9682455"
"884	793W	""(-37.811440903153994"," 144.96734855150757)""	-37.8114409	144.9673486"
"5826	12539S	""(-37.815939663930138"," 144.98040277635744)""	-37.81593966	144.9804028"
"3284	5850E	""(-37.806472003913989"," 144.95357126083692)""	-37.806472	144.9535713"
"1208	1425W	""(-37.818167673066085"," 144.95642067740664)""	-37.81816767	144.9564207"
"3264	5820E	""(-37.806902973343405"," 144.95349731317643)""	-37.80690297	144.9534973"
"2541	C3046	""(-37.813249225097827"," 144.95894759013134)""	-37.81324923	144.9589476"
"5284	1605W	""(-37.811458234341387"," 144.95052066825514)""	-37.81145823	144.9505207"
"1814	2487S	""(-37.816767134277256"," 144.95474533710586)""	-37.81676713	144.9547453"
"1117	C1150	""(-37.813845657514086"," 144.96016895851272)""	-37.81384566	144.960169"
"5532	11997W	""(-37.813752899759578"," 144.98286561175257)""	-37.8137529	144.9828656"
"2128	3701S	""(-37.809113099765028"," 144.96570578213547)""	-37.8091131	144.9657058"
"4847	9247S	""(-37.828891701954319"," 144.97062044257081)""	-37.8288917	144.9706204"
"3006	5066E	""(-37.805067009052721"," 144.95802706944522)""	-37.80506701	144.9580271"
"3835	C5546	""(-37.806642175795943"," 144.95406278393608)""	-37.80664218	144.9540628"
"2350	3025S	""(-37.813322327417396"," 144.9590165475702)""	-37.81332233	144.9590165"
"3834	C5544	""(-37.806665887973402"," 144.9540736246372)""	-37.80666589	144.9540736"
"3829	C5528	""(-37.806782884120793"," 144.95412702336552)""	-37.80678288	144.954127"
"3837	C5550	""(-37.806595098421994"," 144.95404126225102)""	-37.8065951	144.9540413"
"3175	5382E	""(-37.805367516662336"," 144.95624490749526)""	-37.80536752	144.9562449"
"3864	C5624	""(-37.807091444297008"," 144.95493450029986)""	-37.80709144	144.9549345"
"5232	11518N	""(-37.811807962556614"," 144.9517870870724)""	-37.81180796	144.9517871"
"3360	6055W	""(-37.806067799618589"," 144.95198415449241)""	-37.8060678	144.9519842"
"4297	C6930	""(-37.809372305063469"," 144.95599230220782)""	-37.80937231	144.9559923"
"4249	C6830	""(-37.809366383362786"," 144.95564373036325)""	-37.80936638	144.9556437"
"6303	13363W	""(-37.819186522727136"," 144.94939008905266)""	-37.81918652	144.9493901"
"1295	4497W	""(-37.814223533077524"," 144.95460943849565)""	-37.81422353	144.9546094"
"2504	C2940	""(-37.812640115587314"," 144.96107573889404)""	-37.81264012	144.9610757"
"1012	959W	""(-37.812012992685524"," 144.96202815211791)""	-37.81201299	144.9620282"
"6265	13333W	""(-37.819031025108046"," 144.94840633858928)""	-37.81903103	144.9484063"
"4218	C6740	""(-37.809386863444544"," 144.95714548010679)""	-37.80938686	144.9571455"
"3878	C5652	""(-37.806668986508711"," 144.95500901682288)""	-37.80666899	144.955009"
"3283	5848E	""(-37.806496434427096"," 144.95356693640292)""	-37.80649643	144.9535669"
"3346	6030N	""(-37.81044432850878"," 144.9564919408042)""	-37.81044433	144.9564919"
"2240	3928N	""(-37.812179613708544"," 144.95469364999931)""	-37.81217961	144.9546936"
"4088	C6296	""(-37.804813580271343"," 144.95081822656613)""	-37.80481358	144.9508182"
"3606	7554N	""(-37.805975610780052"," 144.95886627521938)""	-37.80597561	144.9588663"
"1033	1205W	""(-37.812635167375973"," 144.95949188923854)""	-37.81263517	144.9594919"
"3874	C5644	""(-37.806793246597039"," 144.95498697272393)""	-37.80679325	144.954987"
"4295	C6926	""(-37.809392898538377"," 144.95598842464909)""	-37.8093929	144.9559884"
"4315	C6966	""(-37.809392002989753"," 144.95619206232729)""	-37.809392	144.9561921"
"1534	1898N	""(-37.813778971184362"," 144.97210879178039)""	-37.81377897	144.9721088"
"6920	10051S	""(-37.821999964024457"," 144.96318732544881)""	-37.82199996	144.9631873"
"3201	5457W	""(-37.807567870282128"," 144.95437037206341)""	-37.80756787	144.9543704"
"2562	C3114	""(-37.813474929354044"," 144.95817484017999)""	-37.81347493	144.9581748"
"1034	1207W	""(-37.812584229571087"," 144.95946907389737)""	-37.81258423	144.9594691"
"3937	C5790	""(-37.804084320450954"," 144.95546572956954)""	-37.80408432	144.9554657"
"661	C188	""(-37.808138485673389"," 144.97155942363139)""	-37.80813849	144.9715594"
"3935	C5786	""(-37.804134339572485"," 144.95545686243031)""	-37.80413434	144.9554569"
"584	18E	""(-37.814528207012515"," 144.9746266484814)""	-37.81452821	144.9746266"
"651	C148	""(-37.808589373722057"," 144.97176686215866)""	-37.80858937	144.9717669"
"3828	C5524	""(-37.80680366590105"," 144.95413655414646)""	-37.80680367	144.9541366"
"6702	C158	""(-37.808476627523447"," 144.97171517895578)""	-37.80847663	144.9717152"
"6375	13608E	""(-37.820256843529307"," 144.94398029367559)""	-37.82025684	144.9439803"
"2238	3926N	""(-37.812161447760843"," 144.95475782663206)""	-37.81216145	144.9547578"
"5037	9513S	""(-37.828447809158384"," 144.96634560925582)""	-37.82844781	144.9663456"
"6579	13854N	""(-37.812521187234005"," 144.94065663988351)""	-37.81252119	144.9406566"
"5285	1603W	""(-37.811509353430452"," 144.9505441763543)""	-37.81150935	144.9505442"
"1836	2517S	""(-37.811002756727945"," 144.97051806317552)""	-37.81100276	144.9705181"
"4365	C7164	""(-37.807196918883065"," 144.95368148624112)""	-37.80719692	144.9536815"
"2044	3515S	""(-37.813029411421738"," 144.95593046596346)""	-37.81302941	144.9559305"
"5195	C8042	""(-37.810606959994679"," 144.95199175863007)""	-37.81060696	144.9519918"
"686	346E	""(-37.814236429542376"," 144.97168368165524)""	-37.81423643	144.9716837"
"1708	2291S	""(-37.817559245731857"," 144.95565717418901)""	-37.81755925	144.9556572"
"5258	4515W	""(-37.81120011688796"," 144.9532078341075)""	-37.81120012	144.9532078"
"4777	9082N	""(-37.825563906037615"," 144.96170573342738)""	-37.82556391	144.9617057"
"6238	13354E	""(-37.815508589470767"," 144.94527648405119)""	-37.81550859	144.9452765"
"1761	2384N	""(-37.814372640096479"," 144.96246486670452)""	-37.81437264	144.9624649"
"5239	11503S	""(-37.811546034667131"," 144.9531324944694)""	-37.81154603	144.9531325"
"5798	12524N	""(-37.815294127861961"," 144.97622711370332)""	-37.81529413	144.9762271"
"1374	1532E	""(-37.817401909636402"," 144.95351586616647)""	-37.81740191	144.9535159"
"1861	2592N	""(-37.814784612068813"," 144.957377653311)""	-37.81478461	144.9573777"
"3962	C5892	""(-37.80486059427983"," 144.95382709592715)""	-37.80486059	144.9538271"
"1158	C1258	""(-37.811746504757004"," 144.95921338537192)""	-37.8117465	144.9592134"
"6326	13470E	""(-37.818666153557572"," 144.94978870876241)""	-37.81866615	144.9497887"
"1162	C1270	""(-37.811627445037928"," 144.9591589722512)""	-37.81162745	144.959159"
"1095	C1098	""(-37.816220544721517"," 144.96125956608165)""	-37.81622054	144.9612596"
"4616	8346E	""(-37.824334855771973"," 144.96851146113386)""	-37.82433486	144.9685115"
"3817	C5482	""(-37.807307496683805"," 144.95437399000065)""	-37.8073075	144.954374"
"4449	C7744	""(-37.803127601566693"," 144.9502882328853)""	-37.8031276	144.9502882"
"2019	3465S	""(-37.812173959232382"," 144.95890018135552)""	-37.81217396	144.9589002"
"2360	3091S	""(-37.813514128281497"," 144.95835523660293)""	-37.81351413	144.9583552"
"4405	C7244	""(-37.807950638485266"," 144.95211480537529)""	-37.80795064	144.9521148"
"2613	C3260	""(-37.814235208816164"," 144.95550070113791)""	-37.81423521	144.9555007"
"3364	6171W	""(-37.804264150600943"," 144.94314065249569)""	-37.80426415	144.9431407"
"2365	3099S	""(-37.813591861254537"," 144.95808999802603)""	-37.81359186	144.95809"
"3410	6259S	""(-37.80770691882698"," 144.966311653422)""	-37.80770692	144.9663117"
"805	C478	""(-37.811438440986088"," 144.9702720254574)""	-37.81143844	144.970272"
"5837	12561S	""(-37.816028934859645"," 144.98121226236023)""	-37.81602893	144.9812123"
"5246	11517S	""(-37.811787618870525"," 144.95227486078784)""	-37.81178762	144.9522749"
"4579	8021W	""(-37.829576814094864"," 144.96894931784246)""	-37.82957681	144.9689493"
"5393	11752E	""(-37.810135259780381"," 144.97568625602537)""	-37.81013526	144.9756863"
"4054	C6146	""(-37.804202334724003"," 144.95243181122913)""	-37.80420233	144.9524318"
"6264	13331W	""(-37.81897448236797"," 144.9484041809182)""	-37.81897448	144.9484042"
"5809	12546N	""(-37.815783862968289"," 144.98068195095175)""	-37.81578386	144.980682"
"2502	C2936	""(-37.812611443106718"," 144.96117593168708)""	-37.81261144	144.9611759"
"2254	3949S	""(-37.812656418322732"," 144.95349991844512)""	-37.81265642	144.9534999"
"6484	13713W	""(-37.815485774889126"," 144.93681711842214)""	-37.81548577	144.9368171"
"3965	C5898	""(-37.804728727454183"," 144.95385085668934)""	-37.80472873	144.9538509"
"5865	C9162	""(-37.798441207175756"," 144.96514620858875)""	-37.79844121	144.9651462"
"4693	8639W	""(-37.825680553319643"," 144.96234838540386)""	-37.82568055	144.9623484"
"5400	11766E	""(-37.809928005960728"," 144.97572021506375)""	-37.80992801	144.9757202"
"6561	13784E	""(-37.812673226400179"," 144.938892409212)""	-37.81267323	144.9388924"
"4291	C6918	""(-37.809432229006561"," 144.95598123453217)""	-37.80943223	144.9559812"
"2682	10191W	""(-37.803767872186924"," 144.94939900094209)""	-37.80376787	144.949399"
"1542	1912N	""(-37.814483971213456"," 144.96971491247879)""	-37.81448397	144.9697149"
"5240	11505S	""(-37.811626861235354"," 144.95283724196065)""	-37.81162686	144.9528372"
"6157	13204N	""(-37.818596715226001"," 144.94774254433506)""	-37.81859672	144.9477425"
"6185	13260N	""(-37.819932961535208"," 144.94316322487595)""	-37.81993296	144.9431632"
"6551	13763W	""(-37.81252040610994"," 144.93868444012315)""	-37.81252041	144.9386844"
"2718	4101W	""(-37.807877217816348"," 144.96013676075805)""	-37.80787722	144.9601368"
"2732	4382E	""(-37.808900472126396"," 144.96080944705344)""	-37.80890047	144.9608094"
"662	C192	""(-37.80811491719578"," 144.9715482910145)""	-37.80811492	144.9715483"
"4550	10043S	""(-37.823362938117114"," 144.96563603568552)""	-37.82336294	144.965636"
"2736	4390E	""(-37.808621686263265"," 144.96067951576578)""	-37.80862169	144.9606795"
"1734	2341S	""(-37.811921652243569"," 144.97138401565678)""	-37.81192165	144.971384"
"6621	13874N	""(-37.813948960322406"," 144.94182958741504)""	-37.81394896	144.9418296"
"6250	13404E	""(-37.81918378673609"," 144.94732394885384)""	-37.81918379	144.9473239"
"7056	4686Ea	""(-37.804996174320081"," 144.95918217663066)""	-37.80499617	144.9591822"
"4716	8664E	""(-37.825400224595256"," 144.96287563867827)""	-37.82540022	144.9628756"
"5832	12551S	""(-37.815988645738571"," 144.980847323744)""	-37.81598865	144.9808473"
"6259	13422E	""(-37.819869415259575"," 144.94805364400952)""	-37.81986942	144.9480536"
"1459	1738N	""(-37.814667467039222"," 144.97299873822203)""	-37.81466747	144.9729987"
"2290	2686N	""(-37.809740201206395"," 144.97061258922901)""	-37.8097402	144.9706126"
"3125	5292E	""(-37.804431013888873"," 144.95744561456286)""	-37.80443101	144.9574456"
"4213	C6730	""(-37.809320146281763"," 144.95718966206488)""	-37.80932015	144.9571897"
"2670	10179W	""(-37.804095914572599"," 144.94934202566535)""	-37.80409591	144.949342"
"5238	11501S	""(-37.811524689394702"," 144.95320544110024)""	-37.81152469	144.9532054"
"1022	1155W	""(-37.813825192647087"," 144.96003660645459)""	-37.81382519	144.9600366"
"6572	13840N	""(-37.812723002621482"," 144.94012692296252)""	-37.812723	144.9401269"
"5011	9443S	""(-37.830225523263451"," 144.96603319978192)""	-37.83022552	144.9660332"
"6586	13781W	""(-37.813333393817018"," 144.94080196815696)""	-37.81333339	144.940802"
"6156	C13726	""(-37.820085801973661"," 144.94292634407296)""	-37.8200858	144.9429263"
"2545	C3062	""(-37.813302883942853"," 144.95876387871039)""	-37.81330288	144.9587639"
"6339	13496E	""(-37.820524195962818"," 144.95125218998925)""	-37.8205242	144.9512522"
"6331	13480E	""(-37.819431906545333"," 144.95039112373968)""	-37.81943191	144.9503911"
"5533	11999W	""(-37.813704244864674"," 144.98287412586149)""	-37.81370424	144.9828741"
"7069	4693Wa	""(-37.804896609949992"," 144.95861542096549)""	-37.80489661	144.9586154"
"5736	12383S	""(-37.810912934966424"," 144.97640632568923)""	-37.81091293	144.9764063"
"6374	13606E	""(-37.820310507812565"," 144.94400402904301)""	-37.82031051	144.944004"
"3200	5451W	""(-37.807664613673595"," 144.95441496313379)""	-37.80766461	144.954415"
"2650	10141W	""(-37.802505012620543"," 144.94809301745207)""	-37.80250501	144.948093"
"5441	11834E	""(-37.813166460844677"," 144.97787956900441)""	-37.81316646	144.9778796"
"5799	12526N	""(-37.815301489302001"," 144.97629478806482)""	-37.81530149	144.9762948"
"6376	13610E	""(-37.82020320013018"," 144.94395655835351)""	-37.8202032	144.9439566"
"1237	1463W	""(-37.816145567624289"," 144.95549630096099)""	-37.81614557	144.9554963"
"6401	13655W	""(-37.820246968382335"," 144.94537479790733)""	-37.82024697	144.9453748"
"5794	12516N	""(-37.815264741355591"," 144.97595737558225)""	-37.81526474	144.9759574"
"718	549W	""(-37.809578856702458"," 144.96929861904172)""	-37.80957886	144.9692986"
"4843	9243S	""(-37.828869793118855"," 144.97069560250151)""	-37.82886979	144.9706956"
"1993	3411S	""(-37.810241476310345"," 144.96550134077194)""	-37.81024148	144.9655013"
"5803	12534N	""(-37.815739860044175"," 144.98028114277059)""	-37.81573986	144.9802811"
"5466	11886E	""(-37.81043301847005"," 144.97834198401415)""	-37.81043302	144.978342"
"5823	12533S	""(-37.815917176679775"," 144.9801990249008)""	-37.81591718	144.980199"
"5805	12538N	""(-37.815754527982605"," 144.98041474524464)""	-37.81575453	144.9804147"
"5825	12537S	""(-37.81593216820584"," 144.98033485956822)""	-37.81593217	144.9803349"
"5822	12531S	""(-37.815909680839056"," 144.98013110815802)""	-37.81590968	144.9801311"
"5435	11822E	""(-37.813614795610917"," 144.97780529419899)""	-37.8136148	144.9778053"
"5806	12540N	""(-37.815761861675171"," 144.98048154679404)""	-37.81576186	144.9804815"
"5828	12543S	""(-37.815954655223358"," 144.98053861111782)""	-37.81595466	144.9805386"
"5801	12530N	""(-37.815316045833399"," 144.97642719211157)""	-37.81531605	144.9764272"
"2493	C2918	""(-37.812395925424482"," 144.96182294216285)""	-37.81239593	144.9618229"
"3816	C5478	""(-37.807331029788401"," 144.95438489512574)""	-37.80733103	144.9543849"
"4424	C7688	""(-37.803669427771737"," 144.95515576142054)""	-37.80366943	144.9551558"
"5804	12536N	""(-37.815747193811831"," 144.98034794429014)""	-37.81574719	144.9803479"
"3514	6669S	""(-37.808882478808847"," 144.95828803785477)""	-37.80888248	144.958288"
"5385	11707W	""(-37.810030688631414"," 144.97273097601658)""	-37.81003069	144.972731"
"5807	12542N	""(-37.815769195330212"," 144.98054834835835)""	-37.8157692	144.9805483"
"5802	12532N	""(-37.815732526238968"," 144.98021434126593)""	-37.81573253	144.9802143"
"5830	12547S	""(-37.815969646380836"," 144.98067444537244)""	-37.81596965	144.9806744"
"5808	12544N	""(-37.81577652938833"," 144.98061514935759)""	-37.81577653	144.9806151"
"4251	C6834	""(-37.809328537091531"," 144.95565051334395)""	-37.80932854	144.9556505"
"5841	12569S	""(-37.816059490259192"," 144.98149002063528)""	-37.81605949	144.98149"
"2662	10169W	""(-37.804350475821188"," 144.94929759963316)""	-37.80435048	144.9492976"
"1300	1291W	""(-37.818956985216118"," 144.95958913852604)""	-37.81895699	144.9595891"
"1442	1710N	""(-37.820610729203281"," 144.9562208038738)""	-37.82061073	144.9562208"
"3096	5248E	""(-37.805079687814072"," 144.95733080585529)""	-37.80507969	144.9573308"
"5820	12568N	""(-37.8158645316324"," 144.98141676715164)""	-37.81586453	144.9814168"
"1015	968E	""(-37.811621326720143"," 144.9620572870096)""	-37.81162133	144.9620573"
